"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-01","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21","H,,S","27",",,W","14",",,W","  270",",,W","  270",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-02","5.82",",,W"," 1242",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19","H,,S","25",",,W","14",",,W","  300",",,W","  280",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-03","10.96",",,W"," 2221",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21","H,,S","31",",,W","19",",,W","  200",",,W","  200",",,W","21.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-04","18.34",",,W"," 1813",",,W","0.00","T,,W,2400","0.2",",,W,2400","0.0",",,W,2400","29","H,,S","39",",,W","16",",,W","  290",",,W","  280",",,W","35.1",",,W","51.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-05","13.42",",,W"," 0054",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20","H,,S","29",",,W","12",",,W","  310",",,W","  330",",,W","25.9",",,W","36.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-06","9.62",",,W"," 1212",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","22","H,,S","32",",,W","15",",,W","  230",",,W","  240",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-07","13.42",",,W"," 1745",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","33","H,,S","50",",,W","24",",,W","  220",",,W","  220",",,W","23.9",",,W","33.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-08","9.62",",,W"," 0142",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","46","H,,S","55",",,W","38",",,W","  200",",,W","  240",",,W","16.1",",,W","27.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-09","10.74",",,W"," 0143",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","49","H,,S","53",",,W","42",",,W","  250",",,W","  200",",,W","18.1",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-10","9.62",",,W"," 0040",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","38","H,,S","42",",,W","30",",,W","  280",",,W","  280",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-11","13.87",",,W"," 1559",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","29","H,,S","32",",,W","11",",,W","  280",",,W","  280",",,W","29.1",",,W","40.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-12","10.51",",,W"," 0033",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","11","H,,S","15",",,W","4",",,W","  270",",,W","  280",",,W","23.9",",,W","35.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-13","7.83",",,W"," 1813",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","15","H,,S","27",",,W","4",",,W","  100",",,W","  100",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-14","11.63",",,W"," 0914",",,W","0.33",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400","30","H,,S","39",",,W","25",",,W","  100",",,W","  100",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-15","5.82",",,W"," 2232",",,W","0.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","45",",,W","38",",,W","  190",",,W","  190",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-16","10.96",",,W"," 1404",",,W","0.03",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","45","H,,S","51",",,W","37",",,W","  270",",,W","  260",",,W","23.0",",,W","36.0",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-17","8.05",",,W"," 0402",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","39",",,W","33",",,W","  270",",,W","  270",",,W","17.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-18","9.62",",,W"," 1533",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","33","H,,S","35",",,W","25",",,W","  310",",,W","  310",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-19","8.05",",,W"," 1245",",,W","0.09",",,W,2400","0.5",",,W,2400","0.0",",,W,2400","28","H,,S","33",",,W","25",",,W","  150",",,W","  190",",,W","18.1",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-20","14.09",",,W"," 0821",",,W","0.08",",,W,2400","1.7",",,W,2400","2.0",",,W,2400","32","H,,S","35",",,W","21",",,W","   10",",,W","  360",",,W","25.9",",,W","35.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-21","5.82",",,W"," 0049",",,W","0.00",",,W,2400","0.0",",,W,2400","2.0",",,W,2400","22","H,,S","27",",,W","14",",,W","  340",",,W","  330",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-22","8.72",",,W"," 2157",",,W","0.00",",,W,2400","0.0",",,W,2400","1.2",",,W,2400","22","H,,S","33",",,W","14",",,W","  170",",,W","  180",",,W","21.9",",,W","33.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-23","10.29",",,W"," 0304",",,W","0.00","T,,W,2400","0.0",",,W,2400","1.2",",,W,2400","35","H,,S","39",",,W","32",",,W","  180",",,W","  170",",,W","21.0",",,W","36.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-24","8.05",",,W"," 0639",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","36","H,,S","38",",,W","30",",,W","   10",",,W","   10",",,W","17.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-25","6.26",",,W"," 1247",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","39",",,W","32",",,W","  110",",,W","  110",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-26","6.71",",,W"," 2206",",,W","0.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","41","H,,S","48",",,W","38",",,W","  160",",,W","  160",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-27","9.17",",,W"," 2338",",,W","0.26",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","47","H,,S","52",",,W","45",",,W","  220",",,W","  230",",,W","23.9",",,W","36.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-28","10.51",",,W"," 0514",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","50","H,,S","51",",,W","42",",,W","  230",",,W","  240",",,W","23.9",",,W","35.1",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-29","10.51",",,W"," 1209",",,W","0.47",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","44","H,,S","46",",,W","36",",,W","  360",",,W","   10",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-30","4.92",",,W"," 0303",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","37","H,,S","42",",,W","32",",,W","  260",",,W","  260",",,W","14.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.96017","-87.93164","204.8","2024-12-31","15.21",",,W"," 0741",",,W","0.57",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","39","H,,S","42",",,W","34",",,W","   40",",,W","   50",",,W","25.9",",,W","35.1",",,W",,,,,,,,,,,,,,,,,,
